millis(),currentState,IMUAcc.acceleration.x,IMUAcc.acceleration.y,IMUAcc.acceleration.z,IMUGyro.gyro.x,IMUGyro.gyro.y,IMUGyro.gyro.z,IMUTher.temperature,BARO.readTemperature,BARO.readPressure,BARO.readAltitude
85485,2,9.32,0.10,1.29,0.0,0.-65,0.9,2.43,6.18,93324.98,688.51
85519,2,9.15,0.26,1.23,0.2,0.-88,0.13,2.50,6.19,93321.73,688.51
85553,2,9.0,0.49,0.-22,0.3,0.-79,0.14,2.43,6.18,93321.73,688.42
85587,2,9.36,0.53,0.67,0.0,0.-20,0.13,2.37,6.18,93320.64,688.99
85621,2,9.68,0.-6,1.57,0.1,0.-10,0.10,2.43,6.18,93321.73,688.51
85656,2,9.41,0.-33,0.60,0.1,0.4,0.4,2.37,6.19,93324.98,688.70
85690,2,10.26,0.-37,1.50,0.3,0.16,0.0,2.37,6.18,93326.7,688.51
85724,2,10.42,0.0,1.40,0.7,0.-32,0.-8,2.43,6.19,93322.82,688.70
85758,2,9.56,0.-14,-1.-4,0.2,0.-45,0.-11,2.43,6.19,93318.48,687.93
85792,2,9.42,0.40,0.46,0.-7,0.-18,0.-6,2.43,6.18,93319.57,688.13
85826,2,9.28,0.63,1.98,0.-4,0.-17,0.-4,2.43,6.19,93323.89,688.32
85860,2,9.40,0.20,0.50,0.3,0.-27,0.-1,2.43,6.17,93321.73,688.3
85894,2,9.78,0.32,0.-88,0.6,0.7,0.-3,2.37,6.18,93327.15,688.51
85929,2,9.56,0.43,0.63,0.6,0.41,0.-6,2.37,6.19,93326.7,688.51
85963,2,9.67,0.-31,1.54,0.12,0.38,0.-13,2.43,6.17,93323.89,688.42
85997,2,9.24,0.-56,0.11,0.7,0.8,0.-16,2.43,6.18,93328.23,688.51
86031,2,10.93,0.-16,0.20,0.-8,0.14,0.-17,2.43,6.19,93321.73,688.3
86065,2,11.27,0.-24,0.87,0.-13,0.-10,0.-27,2.43,6.19,93324.98,688.90
86099,2,9.52,0.0,1.29,0.-13,0.-16,0.-32,2.43,6.17,93322.82,688.13
86133,2,8.53,0.47,1.80,0.-4,0.11,0.-31,2.37,6.19,93327.15,688.61
86167,2,8.59,0.91,2.22,0.7,0.34,0.-24,2.37,6.19,93320.65,688.61
86203,2,9.77,0.20,0.82,0.18,0.52,0.-13,2.43,6.18,93326.7,689.38
86237,2,9.15,0.44,1.3,0.15,0.32,0.-6,2.43,6.18,93322.81,688.41
86271,2,9.18,0.60,1.35,0.7,0.10,0.8,2.37,6.18,93314.14,688.51
86305,2,9.21,0.53,1.56,0.6,0.4,0.16,2.43,6.19,93320.64,687.93
86339,2,9.55,0.45,1.55,0.6,0.21,0.23,2.43,6.19,93320.64,688.42
86373,2,10.53,0.-27,2.25,0.8,0.14,0.23,2.37,6.18,93327.15,688.51
86407,2,10.13,0.-17,1.57,0.11,0.-9,0.13,2.37,6.18,93323.89,688.61
86441,2,9.75,0.23,1.38,0.9,0.-9,0.4,2.43,6.18,93320.64,688.80
86476,2,9.11,0.-6,1.39,0.3,0.1,0.-5,2.43,6.18,93324.98,688.80
86510,2,8.93,0.32,2.2,0.0,0.10,0.-7,2.43,6.18,93327.15,689.9
86544,2,8.93,0.64,2.27,0.1,0.10,0.-5,2.43,6.19,93329.32,688.42
86578,2,9.35,0.31,1.18,0.6,0.28,0.-3,2.43,6.19,93320.64,688.61
